==55975== NVPROF is profiling process 55975, command: ./lassen-executable/bfs_111100 ../../data/bfs/graph1MW_6.txt
==55975== Profiling application: ./lassen-executable/bfs_111100 ../../data/bfs/graph1MW_6.txt
Reading File
alloc h_graph_nodes
Number of allocated Data = 1
in api range: 0x200060000000 0x2000607a1200
alloc h_graph_mask
Number of allocated Data = 2
in api range: 0x200060800000 0x2000608f4240
alloc h_updating_graph_mask
Number of allocated Data = 3
in api range: 0x2000608f4400 0x2000609e8640
alloc h_graph_visited
Number of allocated Data = 4
in api range: 0x200060a00000 0x200060af4240
alloc h_graph_edges
Read File
Number of allocated Data = 5
in api range: 0x200060c00000 0x200060fd0900
Copied Everything to GPU memory
Start traversing the tree
Kernel Executed 12 times
Result stored in result.txt
==55975== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream        Unified Memory  Virtual Address  Name
592.26ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060000000  [Unified Memory CPU page faults]
592.37ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x1000432c   0x200060800000  [Unified Memory CPU page faults]
592.44ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004330   0x2000608f0000  [Unified Memory CPU page faults]
592.51ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004334   0x200060a00000  [Unified Memory CPU page faults]
594.35ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060010000  [Unified Memory CPU page faults]
596.20ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060020000  [Unified Memory CPU page faults]
609.47ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060040000  [Unified Memory CPU page faults]
613.81ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004330   0x200060900000  [Unified Memory CPU page faults]
623.00ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060080000  [Unified Memory CPU page faults]
623.06ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x1000432c   0x200060810000  [Unified Memory CPU page faults]
